"";"PTBrate";"nbirth";"seasons";"missind"
"1";0,154190398698129;2458;1;FALSE
"2";0,166403162055336;2530;2;FALSE
"3";0,167790559301864;2521;3;FALSE
"4";0,158040300276571;2531;4;FALSE
"5";0,152066115702479;2420;5;FALSE
"6";0,1532582461786;2486;6;FALSE
"7";0,153846153846154;2561;7;FALSE
"8";0,131462925851703;2495;8;FALSE
"9";0,149162239476911;2447;9;FALSE
"10";0,159918200408998;2445;10;FALSE
"11";0,144215530903328;2524;11;FALSE
"12";0,150884086444008;2545;12;FALSE
"13";0,160897679726132;2629;1;FALSE
"14";0,160190325138779;2522;2;FALSE
"15";0,164422684618523;2451;3;FALSE
"16";0,177966101694915;2478;4;FALSE
"17";0,167404426559356;2485;5;FALSE
"18";0,150409836065574;2440;6;FALSE
"19";0,151143790849673;2448;7;FALSE
"20";0,166733147187874;2507;8;FALSE
"21";0,1499176276771;2428;9;FALSE
"22";0,161752988047809;2510;10;FALSE
"23";0,155474155474155;2457;11;FALSE
"24";0,177019894437678;2463;12;FALSE
"25";0,158489096573209;2568;1;FALSE
"26";0,162772277227723;2525;2;FALSE
"27";0,19189933149823;2543;3;FALSE
"28";0,18531746031746;2520;4;FALSE
"29";0,182208349590324;2563;5;FALSE
"30";0,162412993039443;2586;6;FALSE
"31";0,163702506063056;2474;7;FALSE
"32";0,158270527568425;2521;8;FALSE
"33";0,162799690641918;2586;9;FALSE
"34";0,156731148835373;2533;10;FALSE
"35";0,178403755868545;2556;11;FALSE
"36";0,194455445544554;2525;12;FALSE
"37";0,180295950155763;2568;1;FALSE
"38";0,201275408529295;2509;2;FALSE
"39";0,202404809619238;2495;3;FALSE
"40";0,205025927403271;2507;4;FALSE
"41";0,193073248407643;2512;5;FALSE
"42";0,196269261962693;2466;6;FALSE
"43";0,175389532560927;2503;7;FALSE
"44";0,184914841849148;2466;8;FALSE
"45";0,208198051948052;2464;9;FALSE
"46";0,20714865962632;2462;10;FALSE
"47";0,204018547140649;2588;11;FALSE
"48";0,22257806244996;2498;12;FALSE
"49";0,222488038277512;2508;1;FALSE
"50";0,216303470540759;2478;2;FALSE
"51";0,208795562599049;2524;3;FALSE
"52";0,242647058823529;2584;4;FALSE
"53";0,211663947797716;2452;5;FALSE
"54";0,223773434383726;2507;6;FALSE
"55";0,216552832462836;2489;7;FALSE
"56";0,224110671936759;2530;8;FALSE
"57";0,223502304147465;2604;9;FALSE
"58";0,231421647819063;2476;10;FALSE
"59";0,240306946688207;2476;11;FALSE
"60";0,237962594508556;2513;12;FALSE
"61";0,245748987854251;2470;1;FALSE
"62";0,252619324796275;2577;2;FALSE
"63";0,214314928425358;2445;3;FALSE
"64";0,217391304347826;2484;4;FALSE
"65";0,204991816693944;2444;5;FALSE
"66";0,221187427240978;2577;6;FALSE
